Age,Gender,ChildrenHome,Education,MaritalStatus,Income,DeviceType,SubscriptionPaymentMethod,TimeSpentOnStraitsTimes,NumOfTimesAppOpened,NumAdsViewed,NumArticlesFashion,NumArticlesTechnology,NumArticlesHealth,NumArticlesSports,NumArticlesWorldEvents,Response
56,0,2,Master,Divorced,29435.0,Tablet,1,42,5,3,11,0,0,3,12,1
68,0,0,Graduate,Divorced,76773.0,Computer,1,16,1,2,2,0,1,4,16,0
57,0,2,Graduate,Married,44393.0,Tablet,2,5,2,1,0,1,4,2,0,0
18,1,0,Undergraduate,Single,14425.0,Phone,1,9,1,8,5,6,7,2,3,0
37,1,1,PhD,Married,64355.0,Computer,2,25,5,4,0,0,4,0,2,0
28,0,1,Graduate,Married,47574.0,Laptop,2,18,1,1,7,7,8,3,7,0
65,0,0,Graduate,Married,78618.0,Laptop,2,12,1,4,0,1,1,2,6,0
36,1,1,Master,Married,27161.0,Tablet,0,26,4,1,2,4,3,3,1,0
38,0,0,PhD,Single,82733.0,Phone,1,24,2,8,3,2,5,4,2,1
36,1,1,PhD,Married,34320.0,Computer,0,27,5,1,4,1,2,3,3,0
53,1,0,PhD,Single,66582.0,Computer,0,10,1,2,1,3,6,6,0,0
65,1,1,Graduate,Married,73803.0,Phone,2,15,1,9,6,1,7,2,2,1
48,0,1,PhD,Married,78128.0,Laptop,1,27,2,8,2,4,0,6,9,0
18,0,0,Undergraduate,Single,24692.0,Tablet,2,25,2,1,7,1,0,0,0,1
21,1,0,Undergraduate,Single,28943.0,Phone,2,33,5,10,2,7,5,1,2,1
44,1,1,PhD,Married,27683.0,Phone,2,10,1,6,5,5,2,6,9,0
18,0,0,Undergraduate,Single,22651.0,Tablet,1,47,4,15,5,0,1,2,11,1
48,1,1,PhD,Married,65640.0,Computer,2,20,5,5,2,1,2,3,12,0
38,1,1,Graduate,Single,52413.0,Laptop,2,24,4,7,6,2,4,2,12,0
23,0,0,Undergraduate,Single,17353.0,Laptop,0,24,5,9,2,0,2,3,12,1
38,0,1,Graduate,Married,31761.0,Tablet,1,28,4,3,1,3,3,8,5,0
46,1,1,Graduate,Married,29478.0,Laptop,2,23,2,1,1,3,2,2,9,0
60,0,1,Graduate,Single,76624.0,Computer,2,4,1,5,3,0,5,6,3,0
30,1,1,Graduate,Married,53171.0,Tablet,1,26,4,13,0,5,1,3,0,0
38,1,1,PhD,Single,39684.0,Phone,2,8,1,2,2,2,5,6,5,1
42,1,0,Graduate,Divorced,81702.0,Tablet,1,10,4,7,1,5,0,2,1,0
66,1,1,Master,Married,52973.0,Laptop,1,28,3,9,7,4,2,0,2,0
18,1,0,Undergraduate,Single,25071.0,Phone,1,21,4,12,0,3,0,5,12,1
36,0,1,2ndCycle,Married,7500.0,Computer,1,3,1,2,4,1,3,3,7,0
34,1,0,Graduate,Single,68655.0,Laptop,0,27,5,4,0,2,1,3,2,0
79,0,0,PhD,Divorced,48948.0,Phone,1,24,3,7,5,6,3,5,1,1
28,0,2,Graduate,Married,51031.0,Phone,2,15,3,19,0,2,5,6,5,0
38,1,0,Graduate,Married,90000.0,Phone,1,11,2,4,3,6,0,1,4,0
63,1,1,Master,Married,34242.0,Tablet,1,16,3,0,4,2,2,4,15,0
58,1,2,PhD,Divorced,64140.0,Phone,1,44,3,2,2,3,2,2,3,1
47,1,1,PhD,Married,69283.0,Computer,1,28,4,7,0,1,0,3,1,0
17,1,0,Undergraduate,Single,11320.0,Phone,0,5,1,5,6,2,2,2,0,0
34,1,0,Graduate,Married,68487.0,Tablet,0,28,2,9,4,3,2,8,4,0
40,0,1,Graduate,Married,50272.0,Computer,0,5,2,4,3,2,7,0,3,0
54,1,1,Graduate,Married,56534.0,Laptop,1,22,3,10,1,0,5,7,4,1
53,0,1,Graduate,Married,23228.0,Computer,0,19,1,2,1,2,0,6,8,0
31,1,0,Master,Single,90638.0,Computer,2,23,3,3,6,1,4,0,6,0
36,0,1,Graduate,Married,32880.0,Computer,2,17,4,1,4,2,4,4,9,0
45,0,2,Graduate,Married,54809.0,Computer,1,30,2,2,1,5,0,3,4,0
55,1,1,Graduate,Single,52074.0,Computer,1,16,4,2,3,2,5,0,15,0
43,1,1,Graduate,Married,77568.0,Computer,2,8,1,10,2,1,5,1,10,0
35,1,0,2ndCycle,Single,23830.0,Computer,2,8,2,1,7,5,5,0,10,0
73,1,1,Master,Widow,51529.0,Phone,2,10,4,9,2,0,2,2,5,0
79,0,0,Master,Widow,50943.0,Phone,2,21,5,5,2,6,3,8,11,1
72,1,2,PhD,Divorced,42873.0,Tablet,0,17,2,6,7,0,1,0,5,0
46,1,1,Graduate,Divorced,46310.0,Computer,1,28,5,6,0,0,5,1,1,0
33,1,1,Graduate,Single,18358.0,Phone,1,25,3,3,5,2,1,5,0,0
41,1,1,Graduate,Married,19419.0,Computer,1,18,1,4,5,4,1,1,10,0
74,1,1,PhD,Single,60200.0,Computer,0,7,2,6,2,5,3,0,8,0
18,1,0,Undergraduate,Single,23609.0,Phone,1,32,3,13,0,2,2,3,3,1
66,0,2,Graduate,Widow,46984.0,Computer,0,30,2,1,0,2,2,3,4,0
33,1,0,Graduate,Single,81217.0,Computer,0,4,1,3,2,0,2,2,8,0
29,0,2,Graduate,Married,57405.0,Phone,0,27,4,12,2,2,1,10,13,0
49,0,1,2ndCycle,Married,43050.0,Laptop,1,23,4,2,1,0,0,6,1,0
39,1,1,PhD,Married,33569.0,Tablet,0,39,4,1,2,5,2,3,9,1
43,1,0,Graduate,Married,75507.0,Computer,0,20,2,8,0,1,2,1,3,0
69,1,1,Master,Married,56129.0,Computer,2,10,3,6,3,2,0,0,11,0
30,0,0,Graduate,Married,34935.0,Phone,1,9,1,2,2,5,4,5,14,0
19,0,0,Undergraduate,Single,16154.0,Tablet,0,34,6,19,1,1,3,5,11,1
30,0,1,Graduate,Married,41839.0,Laptop,0,30,4,7,1,4,1,0,2,1
16,1,0,Undergraduate,Single,19358.0,Phone,0,8,1,15,2,1,0,5,3,1
21,1,0,Undergraduate,Single,18858.0,Computer,1,5,2,3,0,0,2,5,3,0
60,1,1,PhD,Married,54693.0,Tablet,1,27,5,6,2,0,6,0,4,0
44,0,1,Basic,Married,24882.0,Computer,0,27,3,1,7,0,0,1,2,0
33,0,0,Master,Divorced,10979.0,Laptop,2,30,2,3,3,3,3,5,6,0
33,0,1,Basic,Married,17487.0,Computer,2,8,1,1,2,2,3,2,6,0
54,0,2,PhD,Divorced,83664.0,Phone,0,3,2,2,0,0,3,1,5,0
39,1,0,Graduate,Married,69520.0,Phone,0,6,2,9,1,3,2,1,2,0
16,0,0,Undergraduate,Single,29760.0,Tablet,1,29,5,15,1,2,10,0,3,0
48,0,1,PhD,Married,65352.0,Laptop,0,8,1,4,2,5,0,3,8,0
65,0,0,Master,Married,66636.0,Computer,2,28,3,3,7,3,0,2,6,0
61,0,1,PhD,Married,66426.0,Computer,0,10,2,3,3,6,0,1,0,0
51,1,0,Master,Married,80573.0,Computer,1,24,5,4,6,0,1,4,2,0
