ID,Age,Gender,ChildrenHome,Education,Marital_Status,Income,DeviceType,SubscriptionPaymentMethod,TimeSpentOnStraitsTimes,NumOfTimesAppOpened,NumAdsViewed,NumArticlesFashion,NumArticlesTechnology,NumArticlesHealth,NumArticlesSports,NumArticlesWorldEvents,Response
1,52,1,0,Graduation,Divorced,84835,Phone,1,36,4,4,2,5,4,8,6,1
2,61,1,0,Graduation,Single,57091,Phone,0,25,3,7,0,5,1,4,13,1
3,64,1,1,Graduation,Married,67267,Computer,0,28,5,3,1,0,4,1,7,0
4,55,0,2,Graduation,Together,32474,Computer,0,13,1,1,5,6,1,2,4,0
5,33,1,1,Graduation,Single,21474,Phone,0,41,7,3,4,1,4,5,5,1
6,64,1,0,PhD,Single,71691,Tablet,0,21,2,4,5,3,1,2,4,1
7,68,1,0,2n Cycle,Married,63564,Phone,2,5,2,10,0,4,10,0,1,1
8,55,0,1,Graduation,Together,44931,Computer,2,21,4,2,5,3,3,6,2,0
9,68,0,1,PhD,Married,65324,Laptop,1,28,4,6,0,4,1,3,0,0
10,68,0,1,PhD,Married,65324,Computer,0,4,1,6,4,0,0,3,2,0
11,75,0,0,2n Cycle,Married,81044,Tablet,1,30,4,5,0,2,3,1,4,0
12,43,0,1,Master,Together,62499,Computer,1,5,2,3,3,0,0,2,1,0
13,63,0,0,PhD,Widow,67786,Phone,0,20,3,3,2,0,3,0,3,1
14,41,0,0,Graduation,Married,26872,Computer,2,4,2,1,0,4,0,0,2,0
15,53,1,1,Graduation,Married,4428,Computer,2,19,1,25,0,0,2,0,10,0
16,45,0,2,Graduation,Married,54809,Computer,1,30,2,2,1,5,0,3,4,0
17,45,0,2,Graduation,Married,54809,Phone,2,23,5,2,2,3,1,5,14,1
18,64,1,1,PhD,Divorced,32173,Computer,2,3,1,1,1,5,2,4,7,0
19,62,1,1,2n Cycle,Single,47823,Computer,2,11,1,2,4,5,3,7,2,0
20,64,1,3,Master,Single,30523,Laptop,1,18,3,1,3,1,0,7,5,0
21,68,0,1,Master,Together,36634,Computer,1,29,5,5,0,2,4,0,3,0
22,56,1,1,Master,Single,43456,Phone,2,23,4,5,1,0,2,1,17,0
23,43,1,1,Master,Married,40662,Phone,1,13,3,2,4,3,0,3,8,0
24,46,0,1,PhD,Married,49544,Tablet,2,25,4,5,3,3,6,0,3,0
25,53,1,1,Graduation,Single,57731,Phone,2,7,1,8,0,2,1,1,0,0
26,57,0,1,Master,Single,33168,Computer,1,11,2,2,3,2,0,1,3,0
27,66,1,2,Graduation,Together,54450,Phone,0,29,2,9,1,1,2,0,5,0
28,66,0,2,Graduation,Together,54450,Laptop,0,30,6,9,6,2,1,4,4,0
29,66,0,2,PhD,Widow,35340,Computer,2,8,1,2,1,0,1,4,0,0
30,47,0,0,Graduation,Single,73170,Phone,2,28,5,5,3,8,5,0,5,0
31,51,0,2,PhD,Divorced,65808,Laptop,0,23,2,5,5,1,1,1,15,0
32,36,1,0,Graduation,Married,79529,Phone,2,10,3,4,2,1,1,3,5,0
33,50,0,3,PhD,Together,34578,Phone,2,20,3,1,4,2,1,7,2,0
34,48,0,1,PhD,Married,46374,Tablet,0,16,3,7,5,5,1,1,4,1
35,32,0,0,Graduation,Married,18351,Phone,1,3,2,2,2,3,2,6,0,0
36,35,0,0,PhD,Single,95169,Tablet,0,42,3,4,0,1,2,4,5,1
37,38,0,0,2n Cycle,Married,65370,Phone,2,19,4,2,0,3,0,0,1,0
38,62,0,0,Master,Divorced,39228,Phone,0,19,3,0,4,3,3,1,4,0
39,61,1,0,PhD,Single,84865,Tablet,0,38,3,2,0,2,3,9,0,1
40,54,0,1,Graduation,Married,61314,Laptop,2,18,2,5,2,6,4,5,9,0
41,50,0,1,Graduation,Single,21359,Phone,2,33,3,2,0,11,1,1,0,1
42,67,0,1,PhD,Married,66465,Laptop,2,28,3,11,4,1,5,2,2,0
43,39,0,0,2n Cycle,Single,81698,Phone,1,40,3,8,4,4,1,5,4,1
44,36,1,1,Graduation,Single,39146,Laptop,1,30,6,4,3,0,4,3,2,0
45,52,0,2,2n Cycle,Divorced,25959,Phone,2,23,5,1,4,3,0,0,3,1
46,61,0,0,Graduation,Together,64260,Phone,2,29,5,4,5,3,4,10,6,1
47,49,0,1,Graduation,Married,32300,Laptop,1,10,1,1,9,3,4,1,12,0
48,57,0,1,Master,Married,74806,Laptop,1,29,3,5,2,0,0,0,1,0
49,52,1,1,Graduation,Divorced,72967,Phone,2,36,6,7,0,0,2,7,8,1
50,62,1,1,Graduation,Single,48904,Laptop,2,17,2,7,2,2,3,1,5,0
51,38,1,1,2n Cycle,Married,14796,Phone,2,12,2,1,5,1,12,1,1,1
52,68,1,0,Master,Married,66991,Laptop,1,18,3,4,8,1,3,1,7,0
53,44,0,3,2n Cycle,Single,52195,Laptop,2,24,2,1,2,0,2,0,0,0
54,66,1,0,Graduation,Married,90369,Tablet,2,48,5,4,6,1,3,4,16,1
55,48,1,1,Basic,Married,18393,Laptop,1,20,5,3,0,6,1,7,0,0
56,70,0,2,Graduation,Single,47139,Phone,0,32,4,2,4,3,3,0,2,1
57,49,0,1,Master,Married,38576,Laptop,1,12,2,1,1,2,3,5,2,0
58,47,0,1,PhD,Together,61905,Laptop,0,4,1,4,5,3,0,0,8,0
59,60,0,0,Graduation,Married,83715,Laptop,0,27,2,2,3,0,2,3,8,0
60,58,1,1,Graduation,Married,60597,Phone,1,50,5,2,7,0,7,1,4,1
61,40,0,0,Master,Single,6560,Tablet,0,16,2,1,7,4,0,4,1,0
62,61,0,1,Master,Together,48330,Tablet,1,3,2,1,7,2,3,4,6,0
63,54,1,2,PhD,Single,38236,Tablet,0,6,1,3,2,4,5,4,14,0
64,45,1,1,Master,Married,22701,Tablet,1,3,1,1,1,1,5,5,9,0
65,48,0,2,Master,Divorced,53367,Phone,1,46,7,5,0,10,11,3,10,1
66,36,0,1,Graduation,Together,34728,Tablet,0,33,2,1,3,3,1,0,3,1
67,66,0,2,Master,Married,63915,Tablet,2,27,5,6,3,2,1,4,6,0
68,62,0,0,2n Cycle,Married,82504,Tablet,1,17,1,3,4,2,0,3,4,0
69,50,0,2,PhD,Single,38578,Phone,1,26,5,3,7,0,0,1,13,1
70,50,1,2,PhD,Single,38578,Tablet,2,30,6,3,1,0,8,8,6,0
71,47,0,0,PhD,Married,79174,Phone,1,33,6,5,2,5,9,6,7,1
72,60,0,1,2n Cycle,Divorced,81975,Tablet,1,9,2,6,2,2,5,0,10,0
73,45,0,1,Master,Married,43263,Tablet,0,27,2,5,9,5,0,0,9,0
74,52,1,1,Graduation,Single,27242,Phone,0,7,2,2,7,5,2,5,6,1
75,51,0,1,Graduation,Married,76445,Tablet,2,13,1,2,5,0,2,0,1,0
76,57,1,0,Graduation,Together,75276,Tablet,2,6,2,9,0,6,6,1,12,0
